origin_id,destination_id,origin,destination,origin_station,destination_station
8,30,NBRK,WCRK,North Berkeley,Walnut Creek
8,31,NBRK,LAFY,North Berkeley,Lafayette
8,32,NBRK,ORIN,North Berkeley,Orinda
8,33,NBRK,ROCK,North Berkeley,Rockridge
8,34,NBRK,WOAK,North Berkeley,West Oakland
8,35,NBRK,EMBR,North Berkeley,Embarcadero
8,36,NBRK,MONT,North Berkeley,Montgomery Street
8,37,NBRK,POWL,North Berkeley,Powell Street
8,38,NBRK,CIVC,North Berkeley,Civic Center
8,39,NBRK,16TH,North Berkeley,16th Street Mission
8,40,NBRK,24TH,North Berkeley,24th Street Mission
8,41,NBRK,GLEN,North Berkeley,Glen Park
8,42,NBRK,BALB,North Berkeley,Balboa Park
8,43,NBRK,DALY,North Berkeley,Daly City
8,44,NBRK,OAKL,North Berkeley,Oakland City Center/12th St
8,45,NBRK,WARM,North Berkeley,Warm Springs/South Fremont
8,46,NBRK,MLPT,North Berkeley,Milpitas
8,47,NBRK,BERY,North Berkeley,Berryessa/North San Jose
8,48,NBRK,PCTR,North Berkeley,Pittsburg Center
8,49,NBRK,ANTC,North Berkeley,Antioch
9,0,DBRK,SSAN,Downtown Berkeley,South San Francisco
9,1,DBRK,SBRN,Downtown Berkeley,San Bruno
9,2,DBRK,SFIA,Downtown Berkeley,San Francisco International Airport
9,3,DBRK,MLBR,Downtown Berkeley,Millbrae
9,4,DBRK,WDUB,Downtown Berkeley,West Dublin/Pleasanton
9,5,DBRK,RICH,Downtown Berkeley,Richmond
9,6,DBRK,DELN,Downtown Berkeley,Del Norte
9,7,DBRK,PLZA,Downtown Berkeley,El Cerrito Plaza
9,8,DBRK,NBRK,Downtown Berkeley,North Berkeley
9,9,DBRK,DBRK,Downtown Berkeley,Downtown Berkeley
9,10,DBRK,ASHB,Downtown Berkeley,Ashby
9,11,DBRK,MCAR,Downtown Berkeley,MacArthur
9,12,DBRK,19TH,Downtown Berkeley,19th Street Oakland
9,13,DBRK,12TH,Downtown Berkeley,12th Street Oakland
9,14,DBRK,LAKE,Downtown Berkeley,Lake Merritt
9,15,DBRK,FTVL,Downtown Berkeley,Fruitvale
9,16,DBRK,COLS,Downtown Berkeley,Coliseum
9,17,DBRK,SANL,Downtown Berkeley,San Leandro
9,18,DBRK,BAYF,Downtown Berkeley,Bay Fair
9,19,DBRK,HAYW,Downtown Berkeley,Hayward
9,20,DBRK,SHAY,Downtown Berkeley,South Hayward
9,21,DBRK,UCTY,Downtown Berkeley,Union City
9,22,DBRK,FRMT,Downtown Berkeley,Fremont
9,23,DBRK,CAST,Downtown Berkeley,Castro Valley
9,24,DBRK,DUBL,Downtown Berkeley,Dublin/Pleasanton
9,25,DBRK,PITT,Downtown Berkeley,Pittsburg/Bay Point
9,26,DBRK,NCON,Downtown Berkeley,North Concord/Martinez
9,27,DBRK,COLM,Downtown Berkeley,Colma
9,28,DBRK,CONC,Downtown Berkeley,Concord
9,29,DBRK,PHIL,Downtown Berkeley,Pleasant Hill
